fiscal_year,SOAL,_FREQ_
1112,,380012
1112,E01000001,317
1112,E01000002,348
1112,E01000003,513
1112,E01000004,525
1112,E01000005,455
1112,E01000006,748
1112,E01000007,690
1112,E01000008,637
1112,E01000009,952
1112,E01000010,1161
1112,E01000011,763
1112,E01000012,895
1112,E01000013,779
1112,E01000014,726
1112,E01000015,990
1112,E01000016,791
1112,E01000017,769
1112,E01000018,724
1112,E01000019,590
1112,E01000020,967
1112,E01000021,893
1112,E01000022,650
1112,E01000023,677
1112,E01000024,569
1112,E01000025,846
1112,E01000026,579
1112,E01000027,870
1112,E01000028,895
1112,E01000029,639
1112,E01000030,909
1112,E01000031,642
1112,E01000032,665
1112,E01000033,577
1112,E01000034,772
1112,E01000035,717
1112,E01000036,482
1112,E01000037,582
1112,E01000038,636
1112,E01000039,617
1112,E01000040,962
1112,E01000041,871
1112,E01000042,1200
1112,E01000043,644
1112,E01000044,823
1112,E01000045,867
1112,E01000046,858
1112,E01000047,1452
1112,E01000048,744
1112,E01000049,898
1112,E01000050,835
1112,E01000051,826
1112,E01000052,981
1112,E01000053,708
1112,E01000054,769
1112,E01000055,781
1112,E01000056,758
1112,E01000057,671
1112,E01000058,780
1112,E01000059,596
1112,E01000060,1004
1112,E01000061,911
1112,E01000062,911
1112,E01000063,711
1112,E01000064,1064
1112,E01000065,998
1112,E01000066,976
1112,E01000067,1076
1112,E01000068,796
1112,E01000069,1027
1112,E01000070,916
1112,E01000071,1282
1112,E01000072,1036
1112,E01000073,849
1112,E01000074,802
1112,E01000075,826
1112,E01000076,1103
1112,E01000077,743
1112,E01000078,781
1112,E01000079,770
1112,E01000080,701
1112,E01000081,848
1112,E01000082,740
1112,E01000083,733
1112,E01000084,572
1112,E01000085,703
1112,E01000086,737
1112,E01000087,603
1112,E01000088,728
1112,E01000089,610
1112,E01000090,670
1112,E01000091,774
1112,E01000092,1124
1112,E01000093,722
1112,E01000094,644
1112,E01000095,691
1112,E01000096,836
1112,E01000097,875
1112,E01000098,820
1112,E01000099,893
1112,E01000100,702
1112,E01000101,844
1112,E01000102,768
1112,E01000103,687
1112,E01000104,708
1112,E01000105,979
1112,E01000106,928
1112,E01000107,607
1112,E01000108,624
1112,E01000109,666
1112,E01000110,506
1112,E01000111,960
1112,E01000112,681
1112,E01000113,704
1112,E01000114,911
1112,E01000115,425
1112,E01000116,575
1112,E01000117,577
1112,E01000118,655
1112,E01000119,494
1112,E01000120,394
1112,E01000121,750
1112,E01000122,396
1112,E01000123,523
1112,E01000124,523
1112,E01000125,1057
1112,E01000126,788
1112,E01000127,525
1112,E01000128,598
1112,E01000129,687
1112,E01000130,497
1112,E01000131,626
1112,E01000132,495
1112,E01000133,632
1112,E01000134,556
1112,E01000135,576
1112,E01000136,441
1112,E01000137,682
1112,E01000138,609
1112,E01000139,483
1112,E01000140,628
1112,E01000141,897
1112,E01000142,937
1112,E01000143,560
1112,E01000144,501
1112,E01000145,411
1112,E01000146,574
1112,E01000147,527
1112,E01000148,687
1112,E01000149,1112
1112,E01000150,668
1112,E01000151,617
1112,E01000152,551
1112,E01000153,585
1112,E01000154,386
1112,E01000155,610
