fiscal_year,SOAL,_FREQ_
1011,,708619
1011,E01000001,373
1011,E01000002,300
1011,E01000003,446
1011,E01000004,399
1011,E01000005,305
1011,E01000006,381
1011,E01000007,267
1011,E01000008,328
1011,E01000009,464
1011,E01000010,470
1011,E01000011,356
1011,E01000012,513
1011,E01000013,422
1011,E01000014,453
1011,E01000015,580
1011,E01000016,445
1011,E01000017,485
1011,E01000018,414
1011,E01000019,303
1011,E01000020,490
1011,E01000021,350
1011,E01000022,366
1011,E01000023,240
1011,E01000024,412
1011,E01000025,400
1011,E01000026,345
1011,E01000027,421
1011,E01000028,480
1011,E01000029,596
1011,E01000030,535
1011,E01000031,427
1011,E01000032,437
1011,E01000033,356
1011,E01000034,548
1011,E01000035,439
1011,E01000036,350
1011,E01000037,364
1011,E01000038,413
1011,E01000039,364
1011,E01000040,448
1011,E01000041,380
1011,E01000042,452
1011,E01000043,426
1011,E01000044,423
1011,E01000045,396
1011,E01000046,447
1011,E01000047,664
1011,E01000048,357
1011,E01000049,468
1011,E01000050,417
1011,E01000051,369
1011,E01000052,456
1011,E01000053,420
1011,E01000054,451
1011,E01000055,357
1011,E01000056,431
1011,E01000057,407
1011,E01000058,393
1011,E01000059,372
1011,E01000060,542
1011,E01000061,409
1011,E01000062,507
1011,E01000063,433
1011,E01000064,640
1011,E01000065,529
1011,E01000066,436
1011,E01000067,503
1011,E01000068,384
1011,E01000069,420
1011,E01000070,518
1011,E01000071,582
1011,E01000072,502
1011,E01000073,393
1011,E01000074,420
1011,E01000075,513
1011,E01000076,506
1011,E01000077,563
1011,E01000078,471
1011,E01000079,444
1011,E01000080,420
1011,E01000081,501
1011,E01000082,413
1011,E01000083,449
1011,E01000084,340
1011,E01000085,307
1011,E01000086,497
1011,E01000087,298
1011,E01000088,424
1011,E01000089,329
1011,E01000090,274
1011,E01000091,456
1011,E01000092,651
1011,E01000093,392
1011,E01000094,249
1011,E01000095,422
1011,E01000096,514
1011,E01000097,489
1011,E01000098,463
1011,E01000099,438
1011,E01000100,411
1011,E01000101,466
1011,E01000102,459
1011,E01000103,448
1011,E01000104,364
1011,E01000105,530
1011,E01000106,586
1011,E01000107,408
1011,E01000108,383
1011,E01000109,353
1011,E01000110,357
1011,E01000111,515
1011,E01000112,403
1011,E01000113,424
1011,E01000114,488
1011,E01000115,426
1011,E01000116,434
1011,E01000117,748
1011,E01000118,685
1011,E01000119,389
1011,E01000120,320
1011,E01000121,521
1011,E01000122,380
1011,E01000123,455
1011,E01000124,409
1011,E01000125,922
1011,E01000126,582
1011,E01000127,550
1011,E01000128,476
1011,E01000129,585
1011,E01000130,499
1011,E01000131,449
1011,E01000132,371
1011,E01000133,632
1011,E01000134,422
1011,E01000135,449
1011,E01000136,293
1011,E01000137,524
1011,E01000138,418
1011,E01000139,398
1011,E01000140,426
1011,E01000141,538
1011,E01000142,546
1011,E01000143,301
1011,E01000144,574
1011,E01000145,408
1011,E01000146,280
1011,E01000147,401
1011,E01000148,437
1011,E01000149,717
1011,E01000150,755
1011,E01000151,427
1011,E01000152,425
1011,E01000153,698
1011,E01000154,367
1011,E01000155,533
1011,E01000156,568
1011,E01000157,400
1011,E01000158,398
1011,E01000159,462
1011,E01000160,609
1011,E01000161,594
1011,E01000162,658
1011,E01000163,372
