fiscal_year,SOAL,_FREQ_
1112,,437253
1112,E01000001,2940
1112,E01000002,2686
1112,E01000003,3679
1112,E01000004,2878
1112,E01000005,2314
1112,E01000006,2716
1112,E01000007,2485
1112,E01000008,2239
1112,E01000009,3426
1112,E01000010,4733
1112,E01000011,2949
1112,E01000012,3391
1112,E01000013,3714
1112,E01000014,3180
1112,E01000015,4437
1112,E01000016,3660
1112,E01000017,3597
1112,E01000018,3449
1112,E01000019,2622
1112,E01000020,3227
1112,E01000021,3177
1112,E01000022,2559
1112,E01000023,2402
1112,E01000024,2456
1112,E01000025,3297
1112,E01000026,2592
1112,E01000027,3265
1112,E01000028,3097
1112,E01000029,3488
1112,E01000030,3757
1112,E01000031,3152
1112,E01000032,3630
1112,E01000033,2471
1112,E01000034,3168
1112,E01000035,2615
1112,E01000036,2556
1112,E01000037,2741
1112,E01000038,2806
1112,E01000039,3002
1112,E01000040,3421
1112,E01000041,2984
1112,E01000042,3523
1112,E01000043,2624
1112,E01000044,3296
1112,E01000045,2896
1112,E01000046,2994
1112,E01000047,5933
1112,E01000048,2763
1112,E01000049,3395
1112,E01000050,3409
1112,E01000051,3106
1112,E01000052,3879
1112,E01000053,3001
1112,E01000054,3392
1112,E01000055,2960
1112,E01000056,3257
1112,E01000057,3119
1112,E01000058,3779
1112,E01000059,2973
1112,E01000060,3521
1112,E01000061,2748
1112,E01000062,3954
1112,E01000063,2921
1112,E01000064,4461
1112,E01000065,3863
1112,E01000066,3506
1112,E01000067,3921
1112,E01000068,3311
1112,E01000069,3398
1112,E01000070,3436
1112,E01000071,4059
1112,E01000072,3945
1112,E01000073,3241
1112,E01000074,3153
1112,E01000075,3646
1112,E01000076,3802
1112,E01000077,3413
1112,E01000078,3121
1112,E01000079,3079
1112,E01000080,3075
1112,E01000081,3793
1112,E01000082,3184
1112,E01000083,2855
1112,E01000084,2801
1112,E01000085,2733
1112,E01000086,2760
1112,E01000087,2697
1112,E01000088,2988
1112,E01000089,2816
1112,E01000090,2788
1112,E01000091,3442
1112,E01000092,4518
1112,E01000093,3135
1112,E01000094,1800
1112,E01000095,2510
1112,E01000096,2818
1112,E01000097,3312
1112,E01000098,3696
1112,E01000099,3539
1112,E01000100,2875
1112,E01000101,3594
1112,E01000102,3711
1112,E01000103,3070
1112,E01000104,3268
1112,E01000105,4493
1112,E01000106,4174
1112,E01000107,2838
1112,E01000108,2921
1112,E01000109,2820
1112,E01000110,2881
1112,E01000111,3671
1112,E01000112,3325
1112,E01000113,3587
1112,E01000114,3705
1112,E01000115,3434
1112,E01000116,4080
1112,E01000117,4799
1112,E01000118,4156
1112,E01000119,3994
1112,E01000120,3505
1112,E01000121,3735
1112,E01000122,3197
1112,E01000123,3496
1112,E01000124,3327
1112,E01000125,5502
1112,E01000126,4490
1112,E01000127,2915
1112,E01000128,3462
1112,E01000129,3641
1112,E01000130,3585
1112,E01000131,3639
1112,E01000132,2744
1112,E01000133,3688
1112,E01000134,3321
1112,E01000135,3430
1112,E01000136,2240
1112,E01000137,4324
1112,E01000138,4116
1112,E01000139,2822
1112,E01000140,3060
1112,E01000141,3606
1112,E01000142,4625
1112,E01000143,3232
1112,E01000144,2893
1112,E01000145,3309
1112,E01000146,3183
1112,E01000147,3697
1112,E01000148,3693
1112,E01000149,6239
1112,E01000150,4419
1112,E01000151,3218
1112,E01000152,3161
1112,E01000153,4098
1112,E01000154,2820
1112,E01000155,2711
1112,E01000156,4085
1112,E01000157,3603
1112,E01000158,3215
1112,E01000159,4012
1112,E01000160,3536
1112,E01000161,2899
1112,E01000162,4689
1112,E01000163,3568
1112,E01000164,4037
1112,E01000165,3501
